order_date,region,product,category,sales_rep,units,unit_price,revenue
2024-01-05,East,Gizmo,Electronics,Elena,36,77.99,2807.64
2024-01-11,East,Widget,Hardware,Alice,15,35.99,539.85
2024-01-18,East,Gizmo,Electronics,Bob,16,19.99,319.84
2024-01-25,West,Doohickey,Hardware,Carmen,17,85.99,1461.83
2024-01-28,West,Doohickey,Hardware,Elena,10,40.99,409.90
2024-02-03,North,Gadget,Electronics,Carmen,39,34.99,1364.61
2024-02-08,North,Gizmo,Electronics,Carmen,34,73.99,2515.66
2024-02-15,West,Widget,Hardware,Elena,24,92.99,2231.76
2024-02-18,West,Gadget,Electronics,Alice,26,12.99,337.74
2024-02-21,West,Widget,Hardware,Bob,32,75.99,2431.68
2024-02-26,West,Gizmo,Electronics,David,8,34.99,279.92
2024-02-29,West,Doohickey,Hardware,Bob,41,29.99,1229.59
2024-03-05,North,Widget,Hardware,Alice,21,58.99,1238.79
2024-03-12,South,Gadget,Electronics,Bob,33,47.99,1583.67
2024-03-15,West,Gadget,Electronics,Elena,12,71.99,863.88
2024-03-20,West,Gizmo,Electronics,Carmen,23,31.99,735.77
2024-03-23,South,Gizmo,Electronics,Bob,49,84.99,4164.51
2024-03-28,North,Doohickey,Hardware,Carmen,31,21.99,681.69
2024-03-31,West,Gizmo,Electronics,Carmen,40,67.99,2719.60
2024-04-07,South,Widget,Hardware,Carmen,8,91.99,735.92
2024-04-11,East,Gizmo,Electronics,Alice,950,58.99,56040.50
2024-04-16,West,Widget,Hardware,Elena,47,64.99,3054.53
2024-04-22,East,Gadget,Electronics,Carmen,15,29.99,449.85
2024-04-25,South,Doohickey,Hardware,David,15,73.99,1109.85
2024-04-29,East,Doohickey,Hardware,Bob,7,59.99,419.93
2024-05-05,East,Widget,Hardware,David,47,25.99,1221.53
2024-05-08,North,Widget,Hardware,Carmen,15,79.99,1199.85
2024-05-12,North,Widget,Hardware,Bob,6,83.99,503.94
2024-05-15,West,Widget,Hardware,David,13,80.99,1052.87
2024-05-19,South,Gizmo,Electronics,Carmen,36,74.99,2699.64
2024-05-25,South,Gadget,Electronics,David,40,92.99,3719.60
2024-05-29,North,Widget,Hardware,Elena,30,61.99,1859.70
2024-06-05,West,Doohickey,Hardware,Elena,7,45.99,321.93
2024-06-10,North,Gadget,Electronics,David,32,85.99,2751.68
2024-06-16,East,Widget,Hardware,Elena,30,37.99,1139.70
2024-06-19,North,Widget,Hardware,Alice,36,16.99,611.64
2024-06-22,East,Widget,Hardware,Alice,5,23.99,119.95
2024-06-29,East,Gadget,Electronics,Bob,35,44.99,1574.65
2024-07-05,West,Gizmo,Electronics,Carmen,5,14.99,74.95
2024-07-08,South,Gizmo,Electronics,Alice,38,71.99,2735.62
2024-07-12,North,Gadget,Electronics,Carmen,37,24.99,924.63
2024-07-18,West,Gadget,Electronics,Elena,10,72.99,729.90
2024-07-21,West,Gizmo,Electronics,David,18,62.99,1133.82
2024-07-27,West,Widget,Hardware,Alice,28,37.99,1063.72
2024-07-31,North,Gizmo,Electronics,Alice,16,61.99,991.84
2024-08-05,North,Gadget,Electronics,Carmen,9,68.99,620.91
2024-08-11,West,Widget,Hardware,Elena,43,76.99,3310.57
2024-08-17,South,Widget,Hardware,Elena,33,97.99,3233.67
2024-08-21,East,Gadget,Electronics,Elena,42,65.99,2771.58
2024-08-24,East,Doohickey,Hardware,Alice,11,66.99,736.89
2024-08-27,West,Gadget,Electronics,David,28,70.99,1987.72
2024-09-01,North,Widget,Hardware,David,31,65.99,2045.69
2024-09-07,East,Doohickey,Hardware,Elena,11,94.99,1044.89
2024-09-10,West,Widget,Hardware,Elena,22,32.99,725.78
2024-09-13,South,Gizmo,Electronics,Elena,19,41.99,797.81
2024-09-17,South,Gadget,Electronics,Alice,23,1499.99,34499.77
2024-09-23,West,Doohickey,Hardware,Alice,18,35.99,647.82
2024-09-27,West,Widget,Hardware,Bob,48,32.99,1583.52
2024-10-01,West,Gizmo,Electronics,Bob,31,95.99,2975.69
2024-10-05,East,Widget,Hardware,David,30,11.99,359.70
2024-10-12,North,Widget,Hardware,Elena,44,18.99,835.56
2024-10-19,South,Gizmo,Electronics,David,20,42.99,859.80
2024-10-24,North,Doohickey,Hardware,Elena,6,62.99,377.94
2024-10-28,North,Gizmo,Electronics,Bob,33,77.99,2573.67
2024-11-04,East,Doohickey,Hardware,Elena,27,89.99,2429.73
2024-11-07,North,Gadget,Electronics,Bob,22,16.99,373.78
2024-11-13,South,Doohickey,Hardware,Elena,40,89.99,3599.60
2024-11-16,South,Doohickey,Hardware,David,17,89.99,1529.83
2024-11-21,South,Gadget,Electronics,Alice,34,74.99,2549.66
2024-11-25,East,Doohickey,Hardware,Elena,10,47.99,479.90
2024-11-30,West,Gadget,Electronics,Alice,46,96.99,4461.54
2024-12-07,East,Widget,Hardware,Bob,19,92.99,1766.81
